Author,Number of List Appearances - Author,Genre
Agnes Newton Keith,37,Non-fiction
Agnes Rogers,6,Non-fiction
Agnes Rogers and Frederic k Lewis Allen,24,Non-fiction
Agnes Sligh Turnbull,75,Fiction
Agnes de Mille,12,Non-fiction
"Ahmir ""Questlove"" Thompson an d Ben Greenman",3,Non-fiction
Aimee B ender,1,Fiction
Aimee Molloy,2,Fiction
Aimee Nezhukumatathil,8,Non-fiction
Ainsley Earhardt with Mar k Tabb,3,Non-fiction
Akwaeke Emezi,1,Fiction
Al Alvarez,4,Non-fiction
Al Capp,4,Non-fiction
Al Dewlen,9,Fiction
Al F ranken,34,Non-fiction
Al Franken,52,Non-fiction
Al Gore,42,Non-fiction
Al Michaels with L. J on Wertheim,3,Non-fiction
Al Michaels with L. Jo n Wertheim,3,Non-fiction
Al Morgan,6,Fiction
Al Neuharth,7,Non-fiction
Al Pacino,3,Non-fiction
Al an Alda,2,Non-fiction
Al lan Gurganus,8,Fiction
Alain Gheerbrant,18,Non-fiction
Alain de Botton,2,Non-fiction
Alaina Urquhart,6,Fiction
Alan,1,Non-fiction
Alan Alda,5,Non-fiction
Alan Barth,3,Non-fiction
Alan Br adley,1,Fiction
Alan Bradle y,1,Fiction
Alan Bradley,3,Fiction
Alan Bradley ,2,Fiction
Alan Cumming,2,Non-fiction
Alan Dean Foster,7,Fiction
Alan Dean Foster ,3,Fiction
Alan Dersh owitz,1,Non-fiction
Alan Dershowitz,1,Non-fiction
Alan Furst,17,Fiction
Alan Greenspan,16,Non-fiction
Alan Lemay,1,Fiction
Alan Lightman,17,Fiction
Alan M. Dershowitz,31,Non-fiction
Alan Moorehead,49,Non-fiction
Alan Paton,48,Fiction
Alan Paul,2,Non-fiction
Alan Paul and Andy Aledort,1,Non-fiction
Alan Rickman,1,Non-fiction
Alan Riding,6,Non-fiction
Alan Ross,1,Fiction
Alan Shepard and Deke Slayton with  Jay Barbree and Howard,3,Non-fiction
Alan Shepard and Deke Slayton with Jay Barbree and Howard,7,Non-fiction
Alan Shipnuck,5,Non-fiction
Alan Tennant,1,Non-fiction
Alan Weisman,10,Non-fiction
Alana Stewart,2,Non-fiction
Alasdair Clayre,8,Non-fiction
Alastair Fothergill,1,Non-fiction
Albert B. Gerber,1,Non-fiction
Albert Brooks,3,Fiction
Albert Camu s,6,Non-fiction
Albert Camus,35,Fiction
Albert E. Idell,3,Fiction
Albert Einstein and Le opold Infeld,13,Non-fiction
Albert Goldman,23,Non-fiction
Albert Hourani,9,Non-fiction
Albert Hourani ,2,Non-fiction
Albert P. Salisb ury and Jane,1,Non-fiction
Albert Schweitzer,1,Non-fiction
Albert Schweitzer ,3,Non-fiction
Albert Speer,46,Non-fiction
Alberto Moravia,31,Fiction
Aldous Huxl ey,3,Fiction
Aldous Huxley,52,Fiction
Ale xander McCall Smith,3,Fiction
Alec Bald win and Kurt,1,Non-fiction
Alec Baldwin,1,Non-fiction
Alec Baldwin with Mar k Tabb,1,Non-fiction
Alec Guinness,11,Non-fiction
Alec Ross,1,Non-fiction
Alec Waugh,31,Fiction
Aleksandr I. Solzhenit syn,1,Non-fiction
Aleksandr I. Solzhenits yn,17,Non-fiction
Aleksandr Solzhenitsyn,29,Fiction
Alex Berenson,14,Fiction
Alex Comfort,72,Non-fiction
Alex Haley,47,Non-fiction
Alex Karras and Herb Gluck,1,Non-fiction
Alex Karras and Herb Gluck ,3,Non-fiction
Alex Kershaw,4,Non-fiction
Alex Kotlowitz,8,Non-fiction
Alex Marlow,2,Non-fiction
Alex Michaelides,69,Fiction
Alex North,1,Fiction
Alex P. De Severs ky,7,Non-fiction
Alex Trebek,16,Non-fiction
Alex Van Halen,4,Non-fiction
Alex Walsh. Illustrated by Jes se Clay,1,Fiction
Alex ander McCall,1,Fiction
Alex ander McCall Smith,1,Fiction
Alexand er McCall Smith,2,Fiction
Alexande r McCall Smith,5,Fiction
Alexander  McCall Smith,4,Fiction
Alexander Cordell,1,Fiction
Alexander Fedoroff,1,Fiction
Alexander Freed ,3,Fiction
Alexander Kendrick,13,Non-fiction
Alexander Ki ng,43,Non-fiction
Alexander King,48,Non-fiction
Alexander King ,10,Non-fiction
Alexander Klein,1,Non-fiction
Alexander M cCall Smith,6,Fiction
Alexander M. Haig Jr,10,Non-fiction
Alexander Mc Call Smith,5,Fiction
Alexander McC all Smith,8,Fiction
Alexander McCa ll Smith,3,Fiction
Alexander McCal l Smith,2,Fiction
Alexander McCall  Smith,3,Fiction
Alexander McCall S mith,4,Fiction
Alexander McCall Sm ith,2,Fiction
Alexander McCall Smith,13,Fiction
Alexander McCall Smith ,6,Fiction
Alexander Solzhenitsyn,22,Fiction
Alexander Vindman,2,Non-fiction
Alexander Wolff and Armen Ketey ian,1,Non-fiction
Alexander Wolff and Armen Ketey lan,1,Non-fiction
Alexander Woollcott,31,Non-fiction
Alexander of Russia,7,Non-fiction
Alexandra,1,Non-fiction
Alexandra Day,5,Fiction
Alexandra Full er,3,Non-fiction
Alexandra Fulle r,3,Non-fiction
Alexandra Horowitz,2,Non-fiction
Alexandra Pen ney,1,Non-fiction
Alexandra Penney,34,Non-fiction
Alexandra Ripley,34,Fiction
Alexandra Robbins,1,Non-fiction
Alexei Navalny,3,Non-fiction
Alexis Carrel,24,Non-fiction
Alexis Coe,1,Non-fiction
Alexis Curvers,2,Fiction
Alfred Charle s Kinsey,43,Non-fiction
Alfred Coppel,1,Fiction
Alfred Hayes,4,Fiction
Alfred Neumann,1,Fiction
Alfred P. Sloan,22,Non-fiction
Alger Hiss,5,Non-fiction
Ali H. Soufan with Daniel F reedman,1,Non-fiction
Ali H. Soufan with Daniel Freedman,1,Non-fiction
Ali MacGraw,7,Non-fiction
Ali Wentworth,3,Non-fiction
Ali Wong,1,Non-fiction
Alice Adams,8,Fiction
Alice B. Morgan,11,Non-fiction
Alice Duer Miller,58,Non-fiction
Alice Ekert-Rotholz,16,Fiction
Alice Feeney,2,Fiction
Alice Grant Rosman,2,Fiction
Alice Hof fman,2,Fiction
Alice Hoffman,37,Fiction
"Alice Kahn Ladas, Beverly Whipple  and John D. Perry",4,Non-fiction
"Alice Kahn Ladas, Beverly Whipple and John D. Perry",6,Non-fiction
Alice McDermott,10,Fiction
Alice Munro,2,Fiction
Alice Randall,5,Fiction
Alice Roosevelt Longworth,6,Non-fiction
Alice Schroeder,15,Non-fiction
Alice Sebold,72,Fiction
Alice Tisdale Hob art,2,Fiction
Alice Tisdale Hoba rt,1,Fiction
Alice Tisdale Hobart,41,Fiction
Alice Tisdale Hobart ,21,Fiction
Alice Walk er,1,Fiction
Alice Walke r,1,Fiction
Alice Walker,39,Fiction
Alice Walworth Graham,1,Fiction
Alice Waters with Cristi na Mueller and Bob Carrau,1,Non-fiction
Alicia Keys with Michelle Burfor d,2,Non-fiction
Alicia Keys with Michelle Burford ,3,Non-fiction
Aline B. Saarinen,17,Non-fiction
"Aline, Countess of Roma nones",5,Non-fiction
"Aline, Countess of Roman ones",1,Non-fiction
"Aline, Countess of Romanone s",12,Non-fiction
"Aline, Countess of Romanones ",1,Non-fiction
Alison Espach,6,Fiction
Alison Lurie,14,Fiction
Alison Weir,2,Fiction
Alistair Cooke,43,Non-fiction
Alistair MacLean,114,Fiction
Alix E. Harrow,2,Fiction
Alka Joshi,1,Fiction
All an Gurganus,8,Fiction
Allan Bloom,33,Non-fiction
Allan Bloom ,12,Non-fiction
Allan Folsom,15,Fiction
Allegra Goodman,1,Fiction
Allen C. Guelzo,2,Non-fiction
Allen Drury,257,Fiction
Allen Mikaelian,5,Non-fiction
Allie Beth Stuckey,1,Non-fiction
Allis McKay,2,Fiction
"Allison DuBois (Fireside /Schuster, $24.) How the",1,Non-fiction
Allison Pataki,3,Fiction
Allison Pearson,2,Fiction
Allison Pearson ,9,Fiction
Allistair Cooke,15,Non-fiction
Allistair MacLean,10,Fiction
Alpheus Thomas M ason,11,Non-fiction
Alpheus Thomas Ma son,7,Non-fiction
Alua Arthur,1,Non-fiction
Alva Johnston,4,Non-fiction
Alvin Moscow,15,Non-fiction
Alvin Toffler,90,Non-fiction
Alyssa Mas tromonaco with,2,Non-fiction
Amanda Berry and Gina DeJesus with Mary  Jordan and Kevin Sullivan,2,Non-fiction
Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan,2,Non-fiction
Amanda Eyre Ward,1,Fiction
Amanda Foreman,5,Non-fiction
Amanda Goldberg and Ruthanna Kh alighi Hopper,1,Fiction
Amanda Gorman,22,Fiction
Amanda Kloots with Anna Kloots ,1,Non-fiction
Amanda Knox,3,Non-fiction
Amanda Lindhout and Sara Corbett,1,Non-fiction
Amanda Lucidon,1,Non-fiction
Amanda Mae Ellis,1,Fiction
Amanda Montel l,1,Non-fiction
Amanda Palmer,1,Non-fiction
Amanda Quick,46,Fiction
Amanda Ripley ,2,Non-fiction
Amber Frey,11,Non-fiction
Amber Ruffin and,1,Non-fiction
Amelia Earhart,2,Non-fiction
Aminatou Sow and Ann Friedman ,1,Non-fiction
Amity Shlaes,5,Non-fiction
Amor Towles,98,Fiction
Amy Bloom,8,Fiction
Amy Chozick,1,Non-fiction
Amy Chua,12,Non-fiction
Amy Chua and Jed Rubenfel d,1,Non-fiction
Amy Chua and Jed Rubenfeld ,1,Non-fiction
Amy Dickinson ,1,Non-fiction
Amy Fisher with Sheila W eller,3,Non-fiction
Amy Fisher with Sheila Weller,1,Non-fiction
Amy Kaufman,2,Non-fiction
Amy Kel ly,13,Non-fiction
Amy Klobuchar,1,Non-fiction
Amy Odell,1,Non-fiction
Amy Poehler,26,Non-fiction
Amy Schu mer,7,Non-fiction
Amy Schum er,9,Non-fiction
Amy Sedaris,13,Non-fiction
Amy Tan,95,Fiction
Amy Tintera,1,Fiction
An drew Morton,3,Non-fiction
An drew Tobias,6,Non-fiction
Ana Reyes,9,Fiction
Anais Nin,36,Fiction
Anand Giridharadas,2,Non-fiction
Ancel and Margaret Keys,8,Non-fiction
And rew Morton,10,Non-fiction
Anders Roslund and Borge Hells trom,2,Fiction
Anders Roslund and Borge Hellst rom,2,Fiction
Anderson Cooper,16,Non-fiction
Anderson Cooper a nd Gloria Vanderbilt,3,Non-fiction
Anderson Cooper an d Gloria Vanderbilt,9,Non-fiction
Anderson Cooper and Katherine How e,3,Non-fiction
Anderson Cooper and Katherine Howe,5,Non-fiction
Anderson Cooper and Katherine Howe ,4,Non-fiction
Andie Mitchell,3,Non-fiction
Andre Agassi,12,Non-fiction
Andre Castelot,3,Non-fiction
Andre Dubus III,3,Non-fiction
Andre Iguodala with Carvell Wa llace,1,Non-fiction
Andre Iguodala with Carvell Wal lace,2,Non-fiction
Andre Malraux,9,Non-fiction
Andre Maurois,57,Non-fiction
Andre Schwarz-Bart,44,Fiction
Andre Simone,4,Non-fiction
Andre Soubiran,28,Fiction
Andrea Bartz,5,Fiction
Andrea Bernstein,1,Non-fiction
Andrea Lankford,1,Non-fiction
