Author,Number of List Appearances - Author,Genre
"Chelsea Han dler, Glen Handler,",9,Non-fiction
"Chelsea Han dler, Glen Handler, Roy",2,Non-fiction
Chelsea Handler,37,Non-fiction
Chelsea Handler ,3,Non-fiction
Cheryl Crane with Cliff Jahr,10,Non-fiction
Cheryl Strayed,36,Non-fiction
Chesley B. Sullenberger and Jeff rey Zaslow,3,Non-fiction
Cheslie Kryst and April Simpkins,1,Non-fiction
Chesly Manly,7,Non-fiction
Chester Bowles,17,Non-fiction
Chester Wilmot,10,Non-fiction
Chiang Yee,4,Non-fiction
Chimamanda Ngozi Adichie,3,Non-fiction
Chip Gaines and Joanna Ga ines with Mark,5,Non-fiction
Chip Gaines and Joanna Gai nes with Mark,23,Non-fiction
Chip Gaines and Joanna Gai nes with Mark Dagostino,2,Non-fiction
Chipper Jones with Carroll Rogers Walton,1,Non-fiction
Chloe Benjamin,7,Fiction
Chloe C. Peñaranda,3,Fiction
Chloe Gong,1,Fiction
Chr is Matthews,3,Non-fiction
Chri s Matthews,1,Non-fiction
Chris Anderson,6,Non-fiction
Chris Bohjalian,23,Fiction
Chris Christie,3,Non-fiction
Chris Cleave,3,Fiction
Chris Dixon,2,Non-fiction
Chris Hadfield,1,Non-fiction
Chris Hayes,3,Non-fiction
Chris He dges and Joe Sacco,1,Non-fiction
Chris Hed ges and Joe Sacco,1,Non-fiction
Chris Hedges,1,Non-fiction
Chris Herring,2,Non-fiction
Chris Jericho with Peter Thomas F ornatale,1,Non-fiction
Chris Jericho with Peter Thomas Fo rnatale,1,Non-fiction
Chris Kyle with Scott McEwen  and Jim DeFelice,9,Non-fiction
Chris Kyle with Scott McEwen and Jim DeFelice,21,Non-fiction
Chris Kyle with William Doyle,9,Non-fiction
Chris Matthews,27,Non-fiction
Chris Paul with Michael Wilbon,1,Non-fiction
Chris Pavone,5,Fiction
Chris Smith,4,Non-fiction
Chris Stewart and Ted  Stewart,1,Non-fiction
Chris Stewart and Ted Stewart,2,Non-fiction
Chris Wallace with Mitch Weis s,3,Non-fiction
Chris Wallace with Mitch Weiss,3,Non-fiction
Chris Wallace with Mitch Weiss ,3,Non-fiction
Chris Whipple,1,Non-fiction
Chris Whitaker,20,Fiction
Chris van Tulleken,1,Non-fiction
Chrissie Hynde,2,Non-fiction
Chrissy Metz,4,Non-fiction
Christi e Golden,1,Fiction
Christian Coop er,1,Non-fiction
Christian Rudder,1,Non-fiction
Christie  Golden,1,Fiction
Christie Gold en,1,Fiction
Christie Golde n,1,Fiction
Christie Golden,5,Fiction
Christie Tate,1,Non-fiction
Christina Baker Kline,5,Fiction
Christina Crawford,42,Non-fiction
Christina Haag,1,Non-fiction
Christina Lauren,3,Fiction
Christina Schwarz,14,Fiction
Christine Blasey Ford,1,Non-fiction
Christine Feehan,32,Fiction
Christine Todd Whitman,1,Non-fiction
Christine Weston,10,Fiction
Christoph er Morley,4,Fiction
Christopher A. Darden with Jess W alter,19,Non-fiction
Christopher A. Darden with Jess Walter,3,Non-fiction
Christopher Andersen,47,Non-fiction
Christopher Andersen ,3,Non-fiction
Christopher Andrew a nd Vasili Mitrokhin,3,Non-fiction
Christopher Andrew and Vasili Mitrokhin,1,Non-fiction
Christopher Buckley,11,Non-fiction
Christopher Caldwell,1,Non-fiction
Christopher Cicc one with Wendy Leigh,1,Non-fiction
Christopher Cicco ne with Wendy Leigh,4,Non-fiction
Christopher Clarey,1,Non-fiction
Christopher F.  Rufo,1,Non-fiction
Christopher Fry,13,Non-fiction
Christopher Hitchens,37,Non-fiction
Christopher Isherwo od,4,Fiction
Christopher Kennedy L awford,3,Non-fiction
Christopher Kennedy La wford,1,Non-fiction
Christopher La Farge,9,Fiction
Christopher Lasch,7,Non-fiction
Christopher Leonard,2,Non-fiction
Christopher M. Byron,5,Non-fiction
Christopher McDougall,29,Non-fiction
Christopher Moore,27,Fiction
Christopher Morley,25,Fiction
Christopher Nolan ,3,Non-fiction
Christopher Ogden,14,Non-fiction
Christopher Paoli ni,1,Fiction
Christopher Paolin i,1,Fiction
Christopher Paolini,1,Fiction
Christopher Paul Curtis,1,Fiction
Christopher Reeve,14,Non-fiction
Christopher Reich,9,Fiction
Christopher Rice,3,Fiction
Christopher Russo with Allen  St. John,1,Non-fiction
Christy Brown,1,Fiction
Chrystia Freeland,2,Non-fiction
Chuck Barris,7,Fiction
Chuck Klosterman,18,Non-fiction
Chuck Liddell with Chad Millman,3,Non-fiction
Chuck Norris,1,Non-fiction
Chuck Norris wi th Joe Hyams,1,Non-fiction
Chuck Palahniuk,37,Fiction
Chuck Pfarrer,1,Non-fiction
Chuck Wendig,6,Fiction
Chuck Yeager  and Le o Janos,2,Non-fiction
Chuck Yeager and Le o Janos,5,Non-fiction
Chuck Yeager and Leo  Janos,44,Non-fiction
Cicely Tyson with Michelle Burford ,10,Non-fiction
Cissy Houston with Lisa D ickey,2,Non-fiction
Cissy Houston with Lisa Dickey,1,Non-fiction
Claire Keegan,1,Fiction
Claire Lee Chennault,1,Non-fiction
Claire Lombardo,1,Fiction
Claire Messud,7,Fiction
Clare Barnes,56,Non-fiction
Clare Boothe,10,Non-fiction
Clare Francis,10,Fiction
Clarence B. Randall ,1,Non-fiction
Clarence Clemons and Don Reo,1,Non-fiction
Clarence Darrow,7,Non-fiction
Clarence Day,29,Non-fiction
Clarence S. Ja ckson,1,Non-fiction
Clarence Thomas,9,Non-fiction
Clarissa Pinko la Estes,36,Non-fiction
Clarissa Pinkol a Estes,63,Non-fiction
Clark Clifford with  Richard Holbrooke,6,Non-fiction
Clark Clifford with Richard Holbrooke,4,Non-fiction
Claude Brown,9,Non-fiction
Claude G. Bow ers,1,Non-fiction
Claude M. and Harold Sherman Bristol,24,Non-fiction
Claudia Gray,5,Fiction
Claudia Oshry,1,Non-fiction
Clay Aiken with Allison Glo ck,1,Non-fiction
Clay Aiken with Allison Gloc k,4,Non-fiction
Clay Cane,4,Non-fiction
Clemance Dane,3,Fiction
Clemantine Wamariya  and Elizabeth Weil,1,Non-fiction
Clemence Dane,19,Fiction
Clement Moore. Il lustrated by Jan Brett,2,Fiction
Cleveland Amo ry,4,Non-fiction
Cleveland Amor y,16,Non-fiction
Cleveland Amory,82,Non-fiction
Cleveland Amory and Frederic Bra dlee,3,Non-fiction
Cleveland Amory and Frederic Brad lee,9,Non-fiction
Cliff Arque tte,21,Non-fiction
Cliff Sims,3,Non-fiction
Clifford Dowdey,5,Non-fiction
Clifford Stoll,16,Non-fiction
Clifton Fadiman,22,Non-fiction
Clint Hill and Lisa Mc Cubbin,2,Non-fiction
Clint Hill with Lisa McC ubbin,2,Non-fiction
Clint Hill with Lisa McCu bbin,4,Non-fiction
Clint Hill with Lisa McCubbi n,4,Non-fiction
Clint Hill with Lisa McCubbin ,4,Non-fiction
Clint Smith,7,Non-fiction
Clinton Romesha,4,Non-fiction
Clinton Rossiter and Jam es Lare,1,Non-fiction
Clive Barker,10,Fiction
Clive Cussler,181,Fiction
Clive Cussler and Boyd  Morrison,1,Fiction
Clive Cussler and Boyd Morris on,1,Fiction
Clive Cussler and Boyd Morriso n,3,Fiction
Clive Cussler and Boyd Morrison,9,Fiction
Clive Cussler and Boyd Morrison ,2,Fiction
Clive Cussler and Craig D irgo,1,Non-fiction
Clive Cussler and Craig Di rgo,1,Non-fiction
Clive Cussler and Craig Dirg o,2,Non-fiction
Clive Cussler and Craig Dirgo ,3,Non-fiction
Clive Cussler and Dirk Cuss ler,2,Fiction
Clive Cussler and Dirk Cussl er,8,Fiction
Clive Cussler and Dirk Cussler,28,Fiction
Clive Cussler and Dirk Cussler ,5,Fiction
Clive Cussler and Gra ham Brown,2,Fiction
Clive Cussler and Graha m Brown,1,Fiction
Clive Cussler and Graham  Brown,1,Fiction
Clive Cussler and Graham Brow n,1,Fiction
Clive Cussler and Graham Brown,20,Fiction
Clive Cussler and Graham Brown ,2,Fiction
Clive Cussler and Jack Du  Brul,1,Fiction
Clive Cussler and Jack Du Bru l,1,Fiction
Clive Cussler and Jack Du Brul,8,Fiction
Clive Cussler and Jack Du Brul ,4,Fiction
Clive Cussler and Justin Scot t,1,Fiction
Clive Cussler and Justin Scott,30,Fiction
Clive Cussler and Justin Scott ,4,Fiction
Clive Cussler and Paul Kemprecos,4,Fiction
Clive Cussler and Robin B urcell,1,Fiction
Clive Cussler and Robin Bu rcell,3,Fiction
Clive Cussler and Robin Burcel l,3,Fiction
Clive Cussler and Robin Burcell,6,Fiction
Clive Cussler and Russell B lake,2,Fiction
Clive Cussler and Russell Blake,3,Fiction
Clive Cussler and Thomas P erry,1,Fiction
Clive Cussler and Thomas Pe rry,2,Fiction
Clive Cussler and Thomas Perry,4,Fiction
Clive Cussler with Grant Blackw ood,2,Fiction
Clive Cussler with Grant Blackwo od,6,Fiction
Clive Cussler with Grant Blackwoo d,4,Fiction
Clive Cussler with Jack Du Brul,11,Fiction
Clive Cussler with Paul Kempre cos,2,Fiction
Clive Cussler with Paul Kemprec os,4,Fiction
Clive Cussler with Paul Kempreco s,3,Fiction
Clive Cussler with Paul Kemprecos,14,Fiction
Clive Cussler with Paul Kemprecos ,8,Fiction
Clive Davis with A nthony DeCurtis,1,Non-fiction
Clive Davis with An thony DeCurtis,6,Non-fiction
Clyde Brion Davis,1,Fiction
Coco Mellors,1,Fiction
Cody Keenan,1,Non-fiction
Cokie Roberts,46,Non-fiction
Cokie Roberts and Stev e Roberts,5,Non-fiction
Cokie Roberts and Steve  Roberts,2,Non-fiction
Col. Robert L. Scott,10,Non-fiction
Colette Dowling,26,Non-fiction
Colin Cowherd,1,Non-fiction
Colin Jost,1,Non-fiction
Colin L. Powell with Jos eph E. Persico,3,Non-fiction
Colin L. Powell with Jose ph E. Persico,17,Non-fiction
Colin O'Brady,1,Non-fiction
Colin Powell with Tony Kolt z,2,Non-fiction
Colin Powell with Tony Koltz ,6,Non-fiction
Colin Simkin,1,Non-fiction
Colin Thubron,1,Non-fiction
Colin Wilson,20,Non-fiction
Colleen Hoover,12,Fiction
Colleen Mc Cullough,1,Fiction
Colleen McC ullough,8,Fiction
Colleen McCullough,115,Fiction
Colleen McCullough ,2,Fiction
Colm Toibin,2,Fiction
Colm Tóibín,2,Fiction
Colson Whitehead,60,Fiction
Colton Underwood,1,Non-fiction
Colum McCann,3,Fiction
Commander Edward Ellisberg,7,Fiction
Commander Edward Ellsberg,9,Non-fiction
Common with Mens ah Demary,2,Non-fiction
Condoleezza Ri ce,3,Non-fiction
Condoleezza Rice,6,Non-fiction
Connell Cowan a nd Melvyn Kinder,11,Non-fiction
Connell Cowan an d Melvyn Kinder,28,Non-fiction
Connie Briscoe,1,Fiction
Connie Bruck,1,Non-fiction
Connie Chung,1,Non-fiction
Connie Schultz,1,Fiction
Connor Franta,2,Non-fiction
Conor Knighton,1,Non-fiction
Conrad Hilton,5,Non-fiction
Conrad Richter,14,Fiction
Constance Rourke,3,Non-fiction
Consuelo Vanderbilt Ba lsan,20,Non-fiction
Cordelia Drexel Biddle a nd Kyle Crichton,9,Non-fiction
Cordell Hull,9,Non-fiction
Corey R. Lewandowski and D avid N. Bossie,4,Non-fiction
Corey R. Lewandowski and Dav id N. Bossie,1,Non-fiction
Corey R. Lewandowski and David N. Bossie,2,Non-fiction
Corinne Johnson Kern,1,Non-fiction
Cormac McCarthy,56,Fiction
Cornel West,11,Non-fiction
Cornelia Oti s Skinner,6,Non-fiction
Cornelia Otis Ski nner and Emily,21,Non-fiction
Cornelia Otis Skinner,94,Non-fiction
Cornelius Ryan,73,Non-fiction
Cornelius Vanderbilt ,8,Non-fiction
Cornelius Weygandt,5,Non-fiction
Courtney Whitney,5,Non-fiction
Craig Claibor ne with Pierre Franey,13,Non-fiction
Craig Claiborn e with Pierre Franey,26,Non-fiction
Craig Clairbo rne with Pierre Franey,1,Non-fiction
Craig Ferguson,3,Non-fiction
Craig I. Zirbel,9,Non-fiction
Craig Johnson,17,Fiction
Craig M. Mullaney,2,Non-fiction
Craig Nelson,2,Non-fiction
Craig Thomas,4,Fiction
Craig Unger,10,Non-fiction
Craig Whitlock,2,Non-fiction
Cristina Alger,1,Fiction
Crystal Hefner,1,Non-fiction
Curt Gentry,9,Non-fiction
Curtis Bok,6,Non-fiction
Curtis Sittenfeld,24,Fiction
Cybill Shepherd with Aim ee Lee Ball,1,Non-fiction
Cybill Shepherd with Aime e Lee Ball,5,Non-fiction
Cynthia D'Aprix Sweeney,20,Fiction
Cynthia Freeman,106,Fiction
D avid T. Hardy and,1,Non-fiction
D iana Gabaldon,1,Fiction
D wight D,1,Non-fiction
D. T. Max,1,Non-fiction
D.H. Lawrence,27,Fiction
D.L. Hughley and Doug Mo e,1,Non-fiction
D.M. Thomas,19,Fiction
D.W. Brogan,3,Non-fiction
Da niel H. Wilson,1,Fiction
Da ve Eggers,6,Non-fiction
Da vid Plouffe,1,Non-fiction
Dag Hammarskjöld,49,Non-fiction
Dahlia Lithwick,1,Non-fiction
Dakota Meyer and Bing West,3,Non-fiction
Dalai Lama and Desmond Tutu,25,Non-fiction
Dale Alexander,44,Non-fiction
Dale Archer,1,Non-fiction
Dale Brown,35,Fiction
Dale Ca rnegie,77,Non-fiction
Dale Carn egie,59,Non-fiction
Dale Earnhardt Jr. with Jade Gurss,7,Non-fiction
Dale Earnhardt Jr. with Jade Gurss ,6,Non-fiction
Dale Evans Rogers,27,Non-fiction
Dale Kramer,1,Non-fiction
Dale Russakoff,1,Non-fiction
Dalton Fury,3,Non-fiction
Dalton S. Reymond,8,Fiction
Dambisa Moyo,3,Non-fiction
Damien Echols,1,Non-fiction
Dan Abram s and David,2,Non-fiction
Dan Abrams and David F isher,1,Non-fiction
Dan Abrams and David Fi sher,3,Non-fiction
Dan Abrams and David Fis her,4,Non-fiction
Dan Ariely,8,Non-fiction
Dan Balz,2,Non-fiction
Dan Balz and Ha ynes Johnson,1,Non-fiction
Dan Balz and Hay nes Johnson,1,Non-fiction
Dan Bongino,2,Non-fiction
Dan Brown,288,Fiction
Dan Charnas,1,Non-fiction
Dan Crenshaw,10,Non-fiction
Dan De Quille,1,Non-fiction
Dan Greenburg,7,Non-fiction
Dan Harris,9,Non-fiction
Dan Jenkins,44,Fiction
Dan Jones,1,Non-fiction
Dan Kiley,27,Non-fiction
Dan Kindlon and Michael Thompso n with Teresa Barker,2,Non-fiction
Dan Lyons,2,Non-fiction
Dan Mannix,1,Non-fiction
Dan Pfeiffer,5,Non-fiction
Dan Quayle,12,Non-fiction
Dan Rather,3,Non-fiction
Dan Rather and Elliot Kirschn er,2,Non-fiction
Dan Rather and Elliot Kirschne r,1,Non-fiction
Dan Rather and Gary Paul Ga tes,1,Non-fiction
Dan Rather and Gary Paul Gat es,23,Non-fiction
Dan Rather with Mick ey Herskowitz,7,Non-fiction
Dan Rather with Micke y Herskowitz,18,Non-fiction
Dan Raviv and Yossi Melma n,4,Non-fiction
Dan Raviv and Yossi Melman ,8,Non-fiction
Dan Schilling and Lori Chapman  Longfritz,3,Non-fiction
Dan Senor and Saul Sing er,1,Non-fiction
Dan Wickenden,3,Fiction
Dana Bash with D avid Fisher,1,Non-fiction
Dana Bash with David Fisher,2,Non-fiction
Dana Goldstein,1,Non-fiction
Dana Milbank,2,Non-fiction
Dana Perino,10,Non-fiction
Dana Perino ,1,Non-fiction
Dana Priest and William A rkin,1,Non-fiction
Dana Stabenow,2,Fiction
Dana Thomas,1,Non-fiction
Dani Shapiro,3,Non-fiction
Daniel Coyle,10,Non-fiction
Daniel G . Amen,7,Non-fiction
Daniel G oleman,2,Non-fiction
Daniel G.  Amen,6,Non-fiction
Daniel Gilbert,1,Non-fiction
Daniel Go leman,3,Non-fiction
Daniel Goleman,57,Non-fiction
Daniel H. Pink,21,Non-fiction
Daniel H. Wilson,1,Fiction
Daniel Halper,2,Non-fiction
Daniel J. Boorstin,30,Non-fiction
Daniel J. Levitin,7,Non-fiction
Daniel J. Siegel,2,Non-fiction
Daniel James Brown,18,Non-fiction
Daniel Jonah G oldhagen,7,Non-fiction
Daniel Jonah Go ldhagen,4,Non-fiction
Daniel José Older,1,Fiction
Daniel Kahneman,27,Non-fiction
"Daniel Kahneman, Olivier Sibony and Ca ss R. Sunstein",3,Non-fiction
"Daniel Kahneman, Olivier Sibony and Cas s R. Sunstein",2,Non-fiction
Daniel Levy and  Eugene Levy,2,Non-fiction
Daniel Levy and Eugene Levy,2,Non-fiction
Daniel Mason,1,Fiction
Daniel Mendelsohn,1,Non-fiction
Daniel Okrent,1,Non-fiction
Daniel Petrocelli with Pe ter Knobler,2,Non-fiction
Daniel Petrocelli with Pet er Knobler,2,Non-fiction
Daniel R. Day wit h Mikael Awake,1,Non-fiction
Daniel R. Day with M ikael Awake,1,Non-fiction
Daniel Siegel,1,Non-fiction
Daniel Silva,139,Fiction
Daniel Tammet,8,Non-fiction
Daniel Yergin,16,Non-fiction
Danielle L. Jensen,8,Fiction
Danielle Steel,1035,Fiction
Danielle Trussoni,4,Fiction
Dannion Brinkley with Pau l Perry,15,Non-fiction
Dannion Brinkley with Paul  Perry,7,Non-fiction
Danny Pellegrino,1,Non-fiction
Danny Thomas with Bill D avidson,2,Non-fiction
Danny Thomas with Bill Da vidson,1,Non-fiction
Danny Trejo with Donal Logue,2,Non-fiction
Daphne Du Maurier,35,Fiction
Daphne Rooke,9,Fiction
Daphne du Maurier,295,Fiction
Darell Hammond,1,Non-fiction
Darius Rucker with Alan Eise nstock,1,Non-fiction
Daron Acemoglu and James A.  Robinson,1,Non-fiction
Darre ll Waltrip with Jade Gurss,2,Non-fiction
Darrell L. Bock,1,Non-fiction
Daryl F. Gates with Diane K. Shah,6,Non-fiction
Dashiell Hammett,2,Fiction
Dav e Eggers,8,Non-fiction
Dava Sobel,34,Non-fiction
Dave Bar ry,10,Non-fiction
Dave Barr y,9,Non-fiction
Dave Barry,75,Non-fiction
Dave Cullen,9,Non-fiction
Dave Eggers,12,Fiction
Dave Grohl,34,Non-fiction
Dave Isay,2,Non-fiction
Dave Itzkoff,2,Non-fiction
Dave Liniger,2,Non-fiction
Dave Longaberger,7,Non-fiction
Dave Marsh,8,Non-fiction
Dave Mustaine with Joe Layden,2,Non-fiction
Dave Pallone with Alan Stein berg,2,Non-fiction
Dave Pallone with Alan Steinb erg,3,Non-fiction
Dave Pelzer,17,Non-fiction
Dave Quinn,2,Non-fiction
Dave Rubin,2,Non-fiction
Dave Winfield with Tom Parker,6,Non-fiction
Dave Wolverto n,1,Fiction
Dave Wolverton ,2,Fiction
Davi d Sedaris,3,Non-fiction
David,1,Non-fiction
David  Sedaris,14,Non-fiction
David A. Kessler,15,Non-fiction
David A. Sinclair and Matthew D. La Plante,2,Non-fiction
David A. Stockman,15,Non-fiction
David A. Vise,10,Non-fiction
David A. Yallop,16,Non-fiction
David Archuleta with Moni ca Haim,1,Non-fiction
David Attenborough,15,Non-fiction
David Axelrod,5,Non-fiction
David Baldacci,467,Fiction
David Beaty,1,Fiction
"David Bender, Chuc k D, Thom Hartmann et",1,Non-fiction
David Blaine,2,Non-fiction
David Bradley,7,Non-fiction
David Bri nkley,2,Non-fiction
David Brin kley,6,Non-fiction
David Brinkley,29,Non-fiction
David Brock,21,Non-fiction
David Brooks,53,Non-fiction
David Carr,3,Non-fiction
David Cay John ston,3,Non-fiction
David Cay Johnsto n,4,Non-fiction
David Cay Johnston,11,Non-fiction
David Cecil,20,Non-fiction
David Chang and Gabe Ulla,2,Non-fiction
David Cone and Jack Curry,1,Non-fiction
David Corn,2,Non-fiction
David Crosby and Carl Gottlie b,1,Non-fiction
David Davidson,3,Fiction
David Denby,1,Non-fiction
David Deutsch,1,Non-fiction
David Dodge,16,Non-fiction
David Donald,1,Non-fiction
David Dosa,5,Non-fiction
David Dougla s Duncan,12,Non-fiction
David Douglas Duncan,3,Non-fiction
David Duchovny,1,Fiction
David E. Hoffman,4,Non-fiction
David E. Sanger,1,Non-fiction
David E. Sanger with Mary K. B rooks,1,Non-fiction
David E. Scherman,14,Non-fiction
David Eagleman,5,Non-fiction
David Ebershoff,1,Fiction
David Eddings,62,Fiction
David Eisenhower ,6,Non-fiction
David Enrich,3,Non-fiction
David Epstein,16,Non-fiction
David Faber,2,Non-fiction
David Fishe r,2,Non-fiction
David Fisher,6,Non-fiction
David Fisher ,11,Non-fiction
David Foster Wallace,4,Fiction
David Freddoso,5,Non-fiction
David Freddoso ,2,Non-fiction
David Frome,1,Fiction
David Frost and Antony Jay,9,Non-fiction
David Frum,13,Non-fiction
David Frum and Richard Perle,2,Non-fiction
David Garnett,8,Fiction
David Garth,2,Fiction
David Gelles,1,Non-fiction
David Gergen,7,Non-fiction
David Graeber and Dav id Wengrow,3,Non-fiction
David Graeber and Davi d Wengrow,3,Non-fiction
David Grann,117,Non-fiction
David Guterson,9,Fiction
David H. Hackworth and Julie Sher man,10,Non-fiction
David H. Hackworth and Julie Sherm an,3,Non-fiction
David Hackett Fischer,1,Non-fiction
David Halberstam,197,Non-fiction
David Hays and Daniel  Hays,8,Non-fiction
David Hays and Daniel Hays,6,Non-fiction
David Herbert Donald,16,Non-fiction
David Horowitz,21,Non-fiction
David I. Kertzer,1,Non-fiction
David J. Dallin,1,Non-fiction
David J. Garrow,1,Non-fiction
David K.  Shipler,5,Non-fiction
David K. Shipler,1,Non-fiction
David Kopay and Perry D eane Young,3,Non-fiction
David Kopay and Perry Deane Young,4,Non-fiction
David Kuo,1,Non-fiction
David L agercrantz,2,Fiction
David L. Cohn,3,Non-fiction
David La gercrantz,6,Fiction
David Lagercran tz,4,Fiction
David Lagercrant z,8,Fiction
David Lagercrantz,6,Fiction
David Lilienthal,1,Non-fiction
David Limbaugh,39,Non-fiction
David Lipsky,5,Non-fiction
David Litt,1,Non-fiction
David Lynch and Kristine McKen na,1,Non-fiction
David M. Rorvik,6,Non-fiction
David M. Rubenstein,2,Non-fiction
David M. Smick,1,Non-fiction
David Mamet,5,Non-fiction
David Maraniss,37,Non-fiction
David McClintick,11,Non-fiction
David McCullough,237,Non-fiction
David Michaelis,3,Non-fiction
David Mitchell,10,Fiction
David Nasaw,4,Non-fiction
David Nevin,2,Fiction
David Niven,45,Non-fiction
David Ogil vy,3,Non-fiction
David Ogilv y,16,Non-fiction
David Ortiz with Michael Holley,2,Non-fiction
David Ortiz with Tony Massarotti,2,Non-fiction
David Osborne and Ted  Gaebler,2,Non-fiction
David Osborne and Ted Gaebler,5,Non-fiction
David P. Schippers with Alan P. Henr y,3,Non-fiction
David P. Schippers with Alan P. Henry ,6,Non-fiction
David Perlmutter with Kristin Lob erg,1,Non-fiction
David Petraeus and Andrew Roberts,1,Non-fiction
David Pilgrim,2,Fiction
David Plouffe,2,Non-fiction
David Quammen,1,Non-fiction
David Rakoff,2,Fiction
David Remnick,5,Non-fiction
"David Reuben, M.D",33,Non-fiction
David Rockefeller,1,Non-fiction
David Ross with Don Yaeger,1,Non-fiction
David S. L andes,1,Non-fiction
David S. Lifton,12,Non-fiction
David S. Wyman,5,Non-fiction
David Schoenbrun,3,Non-fiction
David Sedar is,2,Non-fiction
David Sedari s,21,Non-fiction
David Sedaris,74,Non-fiction
David Sedaris ,15,Non-fiction
David Servan-Schreiber,3,Non-fiction
David Sheff,16,Non-fiction
David Shields and Shane Salerno,2,Non-fiction
David Smith with Carol Cal ef,5,Non-fiction
David Smith with Carol Cale f,4,Non-fiction
David T. Hardy and,5,Non-fiction
David Talbot,2,Non-fiction
David Treuer,2,Non-fiction
David Von Drehle,7,Non-fiction
David Wallace-Wells,6,Non-fiction
"David Wallechhinsky, Irvin g Wallace and Amy Wallace",1,Non-fiction
"David Wallechhinsky, Irving  Wallace and Amy Wallace",34,Non-fiction
David Weber,18,Fiction
David Wells with Chris Kresk i,4,Non-fiction
David Wells with Chris Kreski ,1,Non-fiction
David Wessel,5,Non-fiction
David Westheimer,22,Fiction
David Wilcoc k,1,Non-fiction
David Wise and Thomas B. Ross,22,Non-fiction
David Wong,1,Fiction
David Wroblewski,34,Fiction
David Wroblewski ,5,Fiction
David and Leigh Eddin gs,3,Fiction
David and Leigh Edding s,4,Fiction
Davis Grubb,18,Fiction
Dawn Powell,1,Fiction
Dayton Duncan and Ken Bur ns,5,Non-fiction
Dayton Duncan and Ken Burn s,2,Non-fiction
Dean Acheson,35,Non-fiction
Dean Clarence Manion,1,Non-fiction
Dean Gooderham Ac heson,11,Non-fiction
Dean Koontz,248,Fiction
Dean Ornish,1,Non-fiction
Dean R. Koontz,74,Fiction
Deanna Favre and Angel a Hunt,1,Non-fiction
Deanna Favre with Ange la Hunt,1,Non-fiction
Deanna Raybourn,1,Fiction
Debbie Harry,1,Non-fiction
Debbie Macomber,102,Fiction
Debbie Reynolds and Dorian Hannaw ay,1,Non-fiction
Debbie Reynolds and Dorian Hannawa y,3,Non-fiction
Deborah Crombie,3,Fiction
Deborah Feldman,5,Non-fiction
Deborah Harkness,27,Fiction
Deborah Laake,15,Non-fiction
Deborah Perry Pisci one,1,Non-fiction
Deborah Robert s,1,Non-fiction
Deborah Roberts ,1,Non-fiction
Deborah Rodriguez with K ristin Ohlson,4,Non-fiction
Deborah Tanne n,1,Non-fiction
Deborah Tannen,52,Non-fiction
"Deborah Tannen (Random House, $24.95.) How",1,Non-fiction
Dee Brown,53,Non-fiction
Deepak Chopra,2,Fiction
Deepak Chopra and Menas  Kafatos,1,Non-fiction
Deepak Chopra and Menas Kafatos,1,Non-fiction
Deepti Kapoor,1,Fiction
Deforest Clinton  Jarvis,8,Non-fiction
Deforest Clinton Jarvis,94,Non-fiction
Deirdre Bair,2,Non-fiction
Del Quentin Wilber,2,Non-fiction
Delia Ephron,10,Non-fiction
Delia Owens,133,Fiction
"Delia Owens, (Putnam. ) A woman who",1,Fiction
Delilah S. Dawson,1,Fiction
Demetri Martin,2,Non-fiction
Demi Moore,4,Non-fiction
Denis Johnson,1,Fiction
Denis Johnston,2,Non-fiction
Denis Leary,15,Non-fiction
Denis Tilden Lynch,1,Non-fiction
Denise Jackson with Ellen  Vaughn,1,Non-fiction
Denise Jackson with Ellen Vaughn,6,Non-fiction
Denise Kiernan,3,Non-fiction
Dennis Lehane,28,Fiction
Dennis McFarland,1,Fiction
Dennis McNally,1,Non-fiction
Dennis Miller,12,Non-fiction
Dennis Murphy,12,Fiction
Dennis Rodman with Mic hael Silver,1,Non-fiction
Dennis Rodman with Tim Keo wn,1,Non-fiction
Dennis Rodman with Tim Keow n,19,Non-fiction
Dennis Smith,24,Non-fiction
Dennis Wheatley and J. H. Lin ks,1,Fiction
Dennis Wheatley and J. H. Links,1,Fiction
Dennis Wholey,20,Non-fiction
Denver Riggleman with Hunter Walk er,1,Non-fiction
Denzel Washington with Da niel Paisner,3,Non-fiction
Denzel Washington with Dan iel Paisner,1,Non-fiction
Derek Hough,2,Non-fiction
Derek Jeter with Anthony Bo zza,4,Non-fiction
Derek Jeter with Anthony Boz za,1,Non-fiction
Derrick Bell ,1,Non-fiction
Des Linden with Bonnie D. Fo rd,1,Non-fiction
Des Linden with Bonnie D. For d,1,Non-fiction
Desmond Leslie and G eorge Adamski,9,Non-fiction
Desmond Morris,32,Non-fiction
Desmond Young,26,Non-fiction
Desus Nice and the  Kid Mero,1,Non-fiction
Dexter Filkins,3,Non-fiction
Dexter Masters and Kathari ne Way,4,Non-fiction
Dexter Masters and Katharin e Way,6,Non-fiction
Di ana Gabaldon,1,Fiction
Di ck Van Dyke,3,Non-fiction
Diana B. Henriques,1,Non-fiction
Diana Barrymore and Gerold F rank,22,Non-fiction
Diana Gabal don,2,Fiction
Diana Gabald on,9,Fiction
Diana Gabaldo n,11,Fiction
Diana Gabaldon,31,Fiction
Diana Gabaldon ,1,Fiction
Diana Palmer,6,Fiction
Diana Ross,2,Non-fiction
